MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
03	07	2001	16.4	1.0	252.3	0.0	30.7	2.1
03	08	2001	16.6	3.8	134.3	0.6	37.4	2.4
03	09	2001	12.7	1.8	145.8	13.3	61.3	2.5
03	10	2001	10.4	-5.6	145.8	3.0	60.3	2.8
03	11	2001	9.3	-5.8	246.5	0.0	40.2	2.5
03	12	2001	15.8	-3.1	253.5	0.0	29.2	1.8
03	13	2001	15.9	0.5	240.7	0.0	32.6	2.6
03	14	2001	17.6	1.6	228.0	0.0	37.9	1.8
03	15	2001	11.4	3.4	126.2	2.4	58.2	3.5
03	16	2001	13.2	3.2	204.9	1.8	49.5	4.0
03	17	2001	12.7	-0.6	233.8	0.6	42.0	3.9
